id,name,type,latitude,longitude
3227092859,Supermecado BH,supermarket,-19.9151621,-43.9792614
3227176506,Pizzaria Santa Pizza,restaurant,-19.9147259,-43.9100067
3305731088,Pizzaria Mangabeiras,restaurant,-19.9469112,-43.921493
3325576218,Sushi Japa São Bento,restaurant,-19.9551601,-43.95002
3325970881,Projeto Sabor,restaurant,-19.9549706,-43.9500239
3327610318,EPA Plus,supermarket,-19.9639156,-43.9493965
3328796827,Tudo no Espeto,restaurant,-20.7291193,-46.6102127
3363958026,Chico Savassi,restaurant,-19.9341557,-43.9354474
3363958029,Santa Fé,restaurant,-19.9343825,-43.9345721
3363958030,Vila Árabe,restaurant,-19.9342918,-43.9343377
3438037628,Golden China,restaurant,-19.9181486,-43.9389605
3459974307,Super Nosso,supermarket,-19.9299253,-43.9434141
3473469893,Provincia Di Salerno,restaurant,-19.9219214,-43.9228978
3529416150,Restaurante Dona Ana,restaurant,-19.9344665,-44.0134607
3529416158,Sacolão Vem Que Tem,supermarket,-19.9346219,-44.0134068
3622170653,Nome não disponível,supermarket,-19.8584928,-43.9062098
3623944070,Brunella Pizzaria,restaurant,-19.9526862,-43.9315848
3623944071,Pizzaria Sion,restaurant,-19.9526336,-43.9311385
3643293445,Sacolão ABC,supermarket,-19.9117202,-43.925124
3643332078,EPA - Supermercado - Floresta,supermarket,-19.9120372,-43.9247223
3643342335,Pizzaria Muzzarelos,restaurant,-19.9077589,-43.9245855
3685985006,Speciali,restaurant,-19.9379245,-43.942332
3685989658,Rima dos Sabores,restaurant,-19.9277779,-43.9622356
3698564793,Novo Vitória,supermarket,-19.8630732,-43.8897779
3708103538,Sapão Taioba,restaurant,-19.8608321,-43.9495865
3708112859,Pizzaiolo Dona Clara,restaurant,-19.8600073,-43.9471374
3773810958,Bolão São Pedro,restaurant,-19.946312,-43.9391682
3821043507,Mala & Cuia,restaurant,-19.8435412,-43.9695822
3821044572,Churrasquinho da Lagoa,restaurant,-19.8435223,-43.9694977
3827466366,Pino Restaurante,restaurant,-19.9433437,-43.9301662
3831385059,Arroba,restaurant,-19.926744,-43.9424
3831391958,Hortfrut,supermarket,-19.871553,-43.99023
